,job_title,date,company_name,location,url,summary
0,Data Engineer,2022-08-17,Payplug,Paris,https://fr.linkedin.com/jobs/view/data-engineer-at-payplug-3261611082?refId=uL%2FHXWx1vRRxcHrA%2BFE%2BRw%3D%3D&trackingId=jfuNQDot2KA8AzAB806Gag%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,
1,Data Engineer (F/H),2022-09-29,Hilti Group,Boulogne-Billancourt,https://fr.linkedin.com/jobs/view/data-engineer-f-h-at-hilti-group-3282267236?refId=uL%2FHXWx1vRRxcHrA%2BFE%2BRw%3D%3D&trackingId=daetNKh8K6PakioBC7leQA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,
2,Data Engineer,2022-08-22,PriceHubble,Paris,https://fr.linkedin.com/jobs/view/data-engineer-at-pricehubble-3257319587?refId=uL%2FHXWx1vRRxcHrA%2BFE%2BRw%3D%3D&trackingId=5RBZyFfO1579gEvfJV1BSQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,
3,Senior Data Engineer,2022-09-21,AXA en France,Nanterre,https://fr.linkedin.com/jobs/view/senior-data-engineer-at-axa-en-france-3274237330?refId=uL%2FHXWx1vRRxcHrA%2BFE%2BRw%3D%3D&trackingId=UsbX%2FPynmDBFvx7YETlQ8g%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,
4,Data Engineer F/H,2022-09-22,Lacoste,Paris,https://fr.linkedin.com/jobs/view/data-engineer-f-h-at-lacoste-3281902575?refId=uL%2FHXWx1vRRxcHrA%2BFE%2BRw%3D%3D&trackingId=FiA2sLfE%2BW2vddqX9kYAOQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,
5,Data Engineer,2022-09-14,Orano,Châtillon,https://fr.linkedin.com/jobs/view/data-engineer-at-orano-3051540542?refId=uL%2FHXWx1vRRxcHrA%2BFE%2BRw%3D%3D&trackingId=SviXsT%2BarorfGrTtyxLSLQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,
6,Data Engineer,2022-09-21,ADVANCED Schema,Paris et périphérie,https://fr.linkedin.com/jobs/view/data-engineer-at-advanced-schema-3235566526?refId=uL%2FHXWx1vRRxcHrA%2BFE%2BRw%3D%3D&trackingId=HEM7Nudn4LzaOzYAakvEmQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,
7,CDI - Data Engineer (H/F),2022-10-03,Cartier,Paris,https://fr.linkedin.com/jobs/view/cdi-data-engineer-h-f-at-cartier-3023903399?refId=uL%2FHXWx1vRRxcHrA%2BFE%2BRw%3D%3D&trackingId=nbFW2xcazCkbEs25wdE%2B1A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,
8,Data Engineer,2022-09-12,La Javaness,Paris,https://fr.linkedin.com/jobs/view/data-engineer-at-la-javaness-3305380954?refId=uL%2FHXWx1vRRxcHrA%2BFE%2BRw%3D%3D&trackingId=PAZwaGsdYXtONZlEmFX2gQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,
9,Data engineer H/F,2022-09-28,Extia,Paris,https://fr.linkedin.com/jobs/view/data-engineer-h-f-at-extia-3008626399?refId=uL%2FHXWx1vRRxcHrA%2BFE%2BRw%3D%3D&trackingId=APpcMkMK%2FV1LeVwJddbLIA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,
10,Data Engineer H/F,2022-10-04,Inetum,Saint-Ouen,https://fr.linkedin.com/jobs/view/data-engineer-h-f-at-inetum-3234393364?refId=uL%2FHXWx1vRRxcHrA%2BFE%2BRw%3D%3D&trackingId=hck2grLdmKDeW0g3IJeYfg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,
11,Data Engineer H/F,2022-09-28,Extia,Paris,https://fr.linkedin.com/jobs/view/data-engineer-h-f-at-extia-3008626360?refId=uL%2FHXWx1vRRxcHrA%2BFE%2BRw%3D%3D&trackingId=FrmScPNrKjlGH9XIhw39bA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,
